Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5,0.5317726581711063,-95.6535559165016,162.8671680365079
5.423881646535186,0.6077668902659055,-96.84178792229874,144.6724445629467
5.883698423124237,0.6870971235930746,-93.37199616042626,118.1446426703414
6.382496778186313,0.7684918939315665,-104.6529010447035,105.7872540931173
6.923581426854928,0.8500737332340524,-92.86209180192697,136.2563357669791
7.510537245882069,0.9317642978309217,-103.0898069141836,135.2308208337328
8.14725302471172,1.01168070478111,-106.3337334755605,-153.0772387689119
8.837947230082436,1.089090977358344,-92.00141198827859,120.7258958659361
9.587195954858105,1.168046322399539,-101.4199573810872,110.2725177646544
10.39996323625825,1.240513558503187,-99.03950088505125,112.814594141749
11.28163394435634,1.272018571046627,-92.47376159498154,103.6957824698848
12.23804945874454,1.227154883261097,-104.6197135292947,-141.68332452635
13.27554636973485,1.076489968890756,-109.2624626744601,-24.97655220610369
14.40099846050634,0.7845014287488543,-94.50991629214218,97.62054015732106
15.62186224834436,0.3637561656379262,-95.00095631958285,152.4425277707309
16.94622638669915,-0.131907092495504,-87.00749471137037,125.0198075247914
18.38286525536956,-0.6670970562601888,-89.23176990726596,87.38825749852577
19.94129709386563,-1.2186702431693,-95.75356548394836,88.34689984714851
21.63184706310465,-1.772431561494153,-90.56449003013709,80.19085921950906
23.46571565324587,-2.324811843199707,-88.36757866810252,70.45527903969307
25.45505289089069,-2.867061413743122,-83.7930561571939,113.6705094793662
27.6130388372969,-3.402676100574782,-80.59532038320141,160.6535021526641
29.95397091093553,-3.929541065819511,-90.46572389893092,143.2901390205251
32.49335861293442,-4.449403288999379,-88.1269109742925,152.3639262400028
35.24802628299614,-4.953918720958618,-92.73407804766025,136.7470190949508
38.23622456658644,-5.444040750517831,-85.95927184450986,138.1319860561467
41.47775133190121,-5.937047090346207,-86.07820601493194,70.11191233673637
44.99408283772978,-6.505808519138805,-84.54819826693523,100.8826139874379
48.80851602124928,-7.279635247622673,-79.0158634122886,104.8473564028723
52.94632284845452,-9.107704161450686,-81.10958508333768,134.6740719381505
57.4349177498517,-13.58387641598902,-77.88726168280191,122.8984770507427
62.30403925073573,-16.13924618976712,-71.93506730330162,135.838967030804
67.58594699941469,-17.92993914143524,-73.08104823942539,129.9645876690089
73.31563549876489,-19.38089201233767,-69.88101660160628,161.6306785343272
79.53106595716291,-20.63057479091721,-70.81600595440977,142.3485389054372
86.27341779488687,-21.74509194749597,-72.26584782495701,118.3298064154231
93.58736147230982,-22.76864490926727,-71.55178140305081,119.3258021240169
101.521354447463,-23.74792713480748,-70.65139202353984,148.104941500838
110.1279622237975,-24.78352669497959,-70.5975250880286,-100.8701534141849
119.464206615195,-25.85784264386538,-72.93631778851103,-86.29407593328973
129.5919435356084,-26.99931503367316,-63.71660271634396,-44.58563133992021
140.5782728163222,-28.22612508692931,-61.64276426435346,-8.548263175681569
152.4959827660131,-29.52663298544585,-59.44411556843461,-37.19811956461558
165.4240324189847,-30.85478514659317,-54.78810395795687,-18.3979296228749
179.4480746666344,-32.23181086089451,-54.7054333639639,-19.29456555398512
194.6610237380868,-33.64306310173166,-58.76211564911662,-68.36386369299808
211.1636707897514,-35.06157430980215,-54.85883031280325,-108.5226002918378
229.0653516823063,-36.52847039994225,-48.59269061470552,-155.0907382333743
248.4846713693576,-37.92124744783918,-46.86874372338793,-121.0760893143517
269.5502896971169,-39.33691038796462,-49.40113767389185,-83.66665194099369
292.4017738212864,-40.80091482141482,-45.92002725398658,-102.4307738319122
317.1905228887219,-42.24143059253824,-44.63047097698422,-87.29840495052582
344.0807711102069,-43.68987260816738,-40.73548904031225,-102.6713469172867
373.2506758700644,-45.15180792402209,-40.24547242495317,-116.2667693080672
404.8934980816992,-46.63143255003363,-35.7869577349769,-96.99277057416646
439.2188826093512,-48.07449507913584,-38.7799975635297,-108.2324086268144
476.4542472393101,-49.52654060250715,-33.1379323643931,-91.96385839492814
516.8462894030058,-51.14935865878103,-31.06579390587507,-65.69017499669314
560.6626206345554,-52.73377708991681,-31.88403777455692,-118.0895507957196
608.1935395916159,-54.11536054642164,-25.87808491304738,-101.641878844617
659.7539553864474,-55.85844952902133,-24.67029013297367,-100.3650197348396
715.6854739699086,-57.63391408535975,-21.16952430786286,-122.2409490345861
776.3586613914438,-59.3565159013686,-18.08113691671791,-106.7405097181742
842.1754989299338,-61.32926911648762,-16.26436522992805,-117.0975861431972
913.5720463615373,-63.39618532256804,-14.34101341229607,-120.9968771353104
991.0213310095851,-66.06587430357281,-10.52697590107372,-127.1928466433659
1075.036481717551,-68.55073053072259,-11.07996923919634,-123.7444444845365
1166.174128508716,-70.05240286148683,-6.330009405157105,-131.7120129646806
1265.038090456518,-72.91298562646922,-1.448274044482603,-131.1488874821522
1372.283376199003,-80.22842640212983,6.977166764021542,-137.7324066468774
1488.620523602222,-84.49656230240171,11.9872768382769,135.6548518599094
1614.820307324337,-81.65585134885998,7.904380963001119,115.9317735075968
1751.718845469755,-79.55229120464624,8.532445764710641,91.97034488942053
1900.22313916664,-77.08046391770979,5.417047014742723,101.1225571413117
2061.317081769483,-74.99499955300099,4.17545736599303,80.95318260995684
2236.067977499789,-71.82764638317481,2.564935866705794,85.50024191118533
2425.633612713233,-70.75972953125644,1.065733325097815,78.43548789645845
2631.269926642823,-70.07906162665725,1.52938143252857,81.43746870783252
2854.339332439596,-68.67720737440958,0.4900669530945158,87.44863546542757
3096.319743640521,-68.5144048420722,1.425420246834605,81.76806244897557
3358.814365867268,-68.19935170792243,2.84789015431951,78.3795110236648
3643.56231862924,-68.97154791635235,3.377342806972035,78.7510557129561
3952.450157604057,-69.2113997214783,4.805405786105254,82.52238665837646
4287.52437373475,-69.07730886253933,5.119160454551971,76.48030152682603
4651.004951954431,-70.62019230052867,7.427002007725325,81.53925191894717
5045.300079369977,-72.18321454845176,9.054813531801333,82.49929534966304
5473.022100351463,-73.69217785893377,10.71007300727041,79.94356537604494
5937.004824235545,-76.55698982413807,13.8487185231341,62.94734983625722
6440.3223003124,-79.97275539082081,18.02502963498596,52.55200549698427
6986.309184487141,-82.73671487717701,20.23532746391705,15.55854022428078
7578.582832551987,-79.3766737960278,17.23143143057757,-42.98509892540426
8221.067266445074,-75.78591083756777,13.83737784213533,-42.09449111434896
8918.019172280508,-73.64856726947056,11.25010926133754,-56.43850646506372
9674.056102396235,-70.17092635543631,8.354485547243103,-53.54778330036348
10494.18706826772,-69.64013127630292,7.740735088748012,-67.49441097998047
11383.84572697682,-67.27985727774774,5.159892876084635,-63.76353462036172
12348.92638110751,-66.97533604635281,4.780565002824443,-62.48397101229745
13395.82303058062,-64.20133262506411,1.534812550675348,-65.48639621868935
14531.47173515991,-63.16179863952701,0.7648465226560873,-57.06014672175941
15763.39656829573,-63.7685110698235,1.272725290648132,-59.18810157506181
17099.75946676697,-62.2467925827796,-0.4263224769017992,-57.39664107343343
18549.41430639272,-61.75661845188348,-0.8551105293930932,-64.12460182973643
20121.96556208413,-60.75611674085748,-1.397523938891915,-53.95628474080385
21827.83194088021,-58.92227899629927,-3.307981435751556,-46.28783007272131
23678.31540955892,-58.55423836520441,-3.048205113360646,-56.29193417677355
25685.67607415555,-59.11422265408717,-2.735728352696754,-48.83693394026339
27863.21340749204,-58.34256111337855,-3.517954509034919,-45.29716685150238
30225.35436287782,-57.88103215676582,-3.250462540953403,-46.68619602994336
32787.748957767,-58.35477383560885,-3.25518865585713,-47.68040155424761
35567.37396064711,-58.91259787141566,-5.17837100535476,-41.1889916870522
38582.64536812139,-60.86597600494323,-1.495553760982011,-42.52954693487003
41853.54041738589,-61.07359663731832,-1.477576435232387,-88.4611647102281
45401.72994247557,-57.50006859610999,-4.987732866947995,-58.99534824453395
49250.72195118796,-56.95890969147386,-5.131818580042594,-47.23443469598757
53426.01737393118,-56.97757849017881,-4.90389587573874,-56.6640369764078
57955.27901638707,-57.6237857537491,-4.380002086287965,-60.85347097788434
62868.51483536141,-59.06621344019504,-3.817635705586127,-63.73087469843176
68198.27675208832,-59.23724536224418,-3.826295132550185,-62.95922752317188
73979.87632019573,-60.29249756925398,-2.456676198143064,-80.01909962304374
80251.6186772105,-60.53301221164923,-3.554594972675856,-89.19375932013517
87055.05632961245,-57.79943312640786,-7.520360002563887,-107.911220772086
94435.2644528542,-56.46628553483939,-8.271046892933194,-102.8119203946112
102441.1395303065,-54.97276474379501,-10.9768461781212,-116.1989142750082
111125.7233097157,-53.8448317802896,-10.71304968222535,-109.342758218321
120546.5542235029,-52.60249632226356,-12.75791898503063,-107.104589510777
130766.0486011831,-51.18567106067228,-12.92451058871623,-106.7657250925076
141851.9141995768,-50.81865547690293,-13.58605548873498,-108.4693863306918
153877.5987905937,-49.59444889576376,-13.8675073229943,-108.0188517025827
166922.7767786412,-48.61311596114254,-16.32636946839327,-100.7026224923902
181073.8770716721,-47.93239128398861,-15.75948149499719,-101.4426803271531
196424.655703202,-47.08809214743587,-20.29118006142868,-109.3600502737476
213076.8169991177,-46.42405214054076,-22.4638661255631,-101.6596990284137
231140.6874047302,-46.15918833690821,-20.76177343048936,-108.5091301233223
250735.9464364084,-45.24935990528951,-22.99991453460862,-85.04347788483754
271992.4196006127,-44.60121541666442,-23.48859197704092,-111.7585205876736
295050.9385336919,-43.86289463098657,-22.06525785512191,-103.6357958494373
320064.2740611741,-43.03218657014956,-26.05639060112411,-129.1271808580057
347198.1483584019,-42.32646282483714,-27.4967821102007,-109.2901237510752
376632.3329184272,-41.52445304383721,-29.3920484267913,-108.2136633162221
408561.8396015968,-40.93748391533012,-27.02445512476099,-76.87446233423408
443198.2126579506,-40.06690352446408,-29.5410308689299,-86.29974847824238
480770.9302825305,-39.35082414873276,-34.1063061008233,-82.61218348270947
521528.9249894128,-38.69120561169269,-32.41229940907723,-89.05357907111312
565742.2328774603,-37.94990142091082,-34.40636313701618,-68.07427527633574
613703.7827147774,-37.28444210057689,-34.73965969709847,-60.12756079527577
665731.3366951796,-36.60845582755648,-36.49277886309457,-38.87011509787742
722169.595724864,-35.9077624301493,-35.05619976760384,-43.44214118458293
783392.4831875638,-35.20351555024082,-33.29584354192684,-34.39031580959663
849805.6223189301,-34.46874879077898,-32.4145498166965,-24.25274531760718
921849.0236036099,-33.92294087816313,-32.66288798552867,-18.25916238056272
1000000,-33.14723594372433,-33.0421161837766,-26.33620653863929
